Time   [HA]   [A-][H+] 
19.9 0.82 0.38 0.18
20.0 0.82 0.38 0.18
20.1 0.82 0.38 0.18
20.2 0.82 0.38 0.18
20.3 0.82 0.38 0.18
20.4 0.82 0.38 0.18
20.5 0.81 0.39 0.19
20.6 0.81 0.39 0.19
20.7 0.81 0.39 0.19
20.8 0.81 0.39 0.19
20.9 0.81 0.39 0.19
21.0 0.81 0.39 0.19
21.1 0.81 0.39 0.19
21.2 0.81 0.39 0.19
21.3 0.81 0.39 0.19
21.4 0.81 0.39 0.19
21.5 0.81 0.39 0.19
21.6 0.81 0.39 0.19
21.7 0.8 0.4 0.2
21.8 0.8 0.4 0.2
21.9 0.8 0.4 0.2
22.0 0.8 0.4 0.2
22.1 0.8 0.4 0.2
22.2 0.8 0.4 0.2
22.3 0.8 0.4 0.2
22.4 0.8 0.4 0.2
22.5 0.8 0.4 0.2
22.6 0.8 0.4 0.2
22.7 0.8 0.4 0.2
22.8 0.8 0.4 0.2
22.9 0.8 0.4 0.2
23.0 0.79 0.41 0.21
23.1 0.79 0.41 0.21
23.2 0.79 0.41 0.21
23.3 0.79 0.41 0.21
23.4 0.79 0.41 0.21
23.5 0.79 0.41 0.21
23.6 0.79 0.41 0.21
23.7 0.79 0.41 0.21
23.8 0.79 0.41 0.21
23.9 0.79 0.41 0.21
24.0 0.79 0.41 0.21
24.1 0.79 0.41 0.21
24.2 0.78 0.42 0.22
24.3 0.78 0.42 0.22
24.4 0.78 0.42 0.22
24.5 0.78 0.42 0.22
24.6 0.78 0.42 0.22
24.7 0.78 0.42 0.22
24.8 0.78 0.42 0.22
24.9 0.78 0.42 0.22
25.0 0.78 0.42 0.22
25.1 0.78 0.42 0.22
25.2 0.78 0.42 0.22
25.3 0.78 0.42 0.22
25.4 0.78 0.42 0.22
25.5 0.77 0.43 0.23
25.6 0.77 0.43 0.23
25.7 0.77 0.43 0.23
25.8 0.77 0.43 0.23
25.9 0.77 0.43 0.23
26.0 0.77 0.43 0.23
26.1 0.77 0.43 0.23
26.2 0.77 0.43 0.23
26.3 0.77 0.43 0.23
26.4 0.77 0.43 0.23
26.5 0.77 0.43 0.23
26.6 0.77 0.43 0.23
26.7 0.77 0.43 0.23
26.8 0.76 0.44 0.24
26.9 0.76 0.44 0.24
27.0 0.76 0.44 0.24
27.1 0.76 0.44 0.24
27.2 0.76 0.44 0.24
27.3 0.76 0.44 0.24
27.4 0.76 0.44 0.24
27.5 0.76 0.44 0.24
27.6 0.76 0.44 0.24
27.7 0.76 0.44 0.24
27.8 0.76 0.44 0.24
27.9 0.76 0.44 0.24
28.0 0.76 0.44 0.24
28.1 0.75 0.45 0.25
28.2 0.75 0.45 0.25
28.3 0.75 0.45 0.25
28.4 0.75 0.45 0.25
28.5 0.75 0.45 0.25
28.6 0.75 0.45 0.25
28.7 0.75 0.45 0.25
28.8 0.75 0.45 0.25
28.9 0.75 0.45 0.25
29.0 0.75 0.45 0.25
29.1 0.75 0.45 0.25
29.2 0.75 0.45 0.25
29.3 0.75 0.45 0.25
29.4 0.75 0.45 0.25
29.5 0.74 0.46 0.26
29.6 0.74 0.46 0.26
29.7 0.74 0.46 0.26
29.8 0.74 0.46 0.26
29.9 0.74 0.46 0.26
30.0 0.74 0.46 0.26
30.1 0.74 0.46 0.26
30.2 0.74 0.46 0.26
30.3 0.74 0.46 0.26
30.4 0.74 0.46 0.26
30.5 0.74 0.46 0.26
30.6 0.74 0.46 0.26
30.7 0.74 0.46 0.26
30.8 0.73 0.47 0.27
30.9 0.73 0.47 0.27
31.0 0.73 0.47 0.27
31.1 0.73 0.47 0.27
31.2 0.73 0.47 0.27
31.3 0.73 0.47 0.27
31.4 0.73 0.47 0.27
31.5 0.73 0.47 0.27
31.6 0.73 0.47 0.27
31.7 0.73 0.47 0.27
31.8 0.73 0.47 0.27
31.9 0.73 0.47 0.27
32.0 0.73 0.47 0.27
32.1 0.73 0.47 0.27
32.2 0.72 0.48 0.28
32.3 0.72 0.48 0.28
32.4 0.72 0.48 0.28
32.5 0.72 0.48 0.28
32.6 0.72 0.48 0.28
32.7 0.72 0.48 0.28
32.8 0.72 0.48 0.28
32.9 0.72 0.48 0.28
33.0 0.72 0.48 0.28
33.1 0.72 0.48 0.28
33.2 0.72 0.48 0.28
33.3 0.72 0.48 0.28
33.4 0.72 0.48 0.28
33.5 0.72 0.48 0.28
33.6 0.71 0.49 0.29
33.7 0.71 0.49 0.29
33.8 0.71 0.49 0.29
33.9 0.71 0.49 0.29
34.0 0.71 0.49 0.29
34.1 0.71 0.49 0.29
34.2 0.71 0.49 0.29
34.3 0.71 0.49 0.29
34.4 0.71 0.49 0.29
34.5 0.71 0.49 0.29
34.6 0.71 0.49 0.29
34.7 0.71 0.49 0.29
34.8 0.71 0.49 0.29
34.9 0.71 0.49 0.29
35.0 0.7 0.5 0.3
35.1 0.7 0.5 0.3
35.2 0.7 0.5 0.3
35.3 0.7 0.5 0.3
35.4 0.7 0.5 0.3
35.5 0.7 0.5 0.3
35.6 0.7 0.5 0.3
35.7 0.7 0.5 0.3
35.8 0.7 0.5 0.3
35.9 0.7 0.5 0.3
36.0 0.7 0.5 0.3
36.1 0.7 0.5 0.3
36.2 0.7 0.5 0.3
36.3 0.7 0.5 0.3
36.4 0.69 0.51 0.31
36.5 0.69 0.51 0.31
36.6 0.69 0.51 0.31
36.7 0.69 0.51 0.31
36.8 0.69 0.51 0.31
36.9 0.69 0.51 0.31
37.0 0.69 0.51 0.31
37.1 0.69 0.51 0.31
37.2 0.69 0.51 0.31
37.3 0.69 0.51 0.31
37.4 0.69 0.51 0.31
37.5 0.69 0.51 0.31
37.6 0.69 0.51 0.31
37.7 0.69 0.51 0.31
37.8 0.69 0.51 0.31
37.9 0.68 0.52 0.32
38.0 0.68 0.52 0.32
38.1 0.68 0.52 0.32
38.2 0.68 0.52 0.32
38.3 0.68 0.52 0.32
38.4 0.68 0.52 0.32
38.5 0.68 0.52 0.32
38.6 0.68 0.52 0.32
38.7 0.68 0.52 0.32
38.8 0.68 0.52 0.32
38.9 0.68 0.52 0.32
39.0 0.68 0.52 0.32
39.1 0.68 0.52 0.32
39.2 0.68 0.52 0.32
39.3 0.67 0.53 0.33
39.4 0.67 0.53 0.33
39.5 0.67 0.53 0.33
39.6 0.67 0.53 0.33
39.7 0.67 0.53 0.33
39.8 0.67 0.53 0.33
39.9 0.67 0.53 0.33
40.0 0.67 0.53 0.33
40.1 0.67 0.53 0.33
40.2 0.67 0.53 0.33
40.3 0.67 0.53 0.33
40.4 0.67 0.53 0.33
40.5 0.67 0.53 0.33
40.6 0.67 0.53 0.33
40.7 0.67 0.53 0.33
40.8 0.66 0.54 0.34
40.9 0.66 0.54 0.34
41.0 0.66 0.54 0.34
41.1 0.66 0.54 0.34
41.2 0.66 0.54 0.34
41.3 0.66 0.54 0.34
41.4 0.66 0.54 0.34
41.5 0.66 0.54 0.34
41.6 0.66 0.54 0.34
41.7 0.66 0.54 0.34
41.8 0.66 0.54 0.34
41.9 0.66 0.54 0.34
42.0 0.66 0.54 0.34
42.1 0.66 0.54 0.34
