Time   [HA]   [A-][H+] 
242.7 0.09 1.11 0.91
242.8 0.09 1.11 0.91
242.9 0.09 1.11 0.91
243.0 0.09 1.11 0.91
243.1 0.09 1.11 0.91
243.2 0.09 1.11 0.91
243.3 0.09 1.11 0.91
243.4 0.09 1.11 0.91
243.5 0.09 1.11 0.91
243.6 0.09 1.11 0.91
243.7 0.09 1.11 0.91
243.8 0.09 1.11 0.91
243.9 0.09 1.11 0.91
244.0 0.09 1.11 0.91
244.1 0.09 1.11 0.91
244.2 0.09 1.11 0.91
244.3 0.09 1.11 0.91
244.4 0.09 1.11 0.91
244.5 0.09 1.11 0.91
244.6 0.09 1.11 0.91
244.7 0.09 1.11 0.91
244.8 0.09 1.11 0.91
244.9 0.09 1.11 0.91
245.0 0.09 1.11 0.91
245.1 0.09 1.11 0.91
245.2 0.09 1.11 0.91
245.3 0.09 1.11 0.91
245.4 0.09 1.11 0.91
245.5 0.09 1.11 0.91
245.6 0.09 1.11 0.91
245.7 0.09 1.11 0.91
245.8 0.09 1.11 0.91
245.9 0.09 1.11 0.91
246.0 0.09 1.11 0.91
246.1 0.09 1.11 0.91
246.2 0.09 1.11 0.91
246.3 0.09 1.11 0.91
246.4 0.09 1.11 0.91
246.5 0.09 1.11 0.91
246.6 0.09 1.11 0.91
246.7 0.09 1.11 0.91
246.8 0.09 1.11 0.91
246.9 0.09 1.11 0.91
247.0 0.09 1.11 0.91
247.1 0.09 1.11 0.91
247.2 0.09 1.11 0.92
247.3 0.08 1.12 0.92
247.4 0.08 1.12 0.92
247.5 0.08 1.12 0.92
247.6 0.08 1.12 0.92
247.7 0.08 1.12 0.92
247.8 0.08 1.12 0.92
247.9 0.08 1.12 0.92
248.0 0.08 1.12 0.92
248.1 0.08 1.12 0.92
248.2 0.08 1.12 0.92
248.3 0.08 1.12 0.92
248.4 0.08 1.12 0.92
248.5 0.08 1.12 0.92
248.6 0.08 1.12 0.92
248.7 0.08 1.12 0.92
248.8 0.08 1.12 0.92
248.9 0.08 1.12 0.92
249.0 0.08 1.12 0.92
249.1 0.08 1.12 0.92
249.2 0.08 1.12 0.92
249.3 0.08 1.12 0.92
249.4 0.08 1.12 0.92
249.5 0.08 1.12 0.92
249.6 0.08 1.12 0.92
249.7 0.08 1.12 0.92
249.8 0.08 1.12 0.92
249.9 0.08 1.12 0.92
250.0 0.08 1.12 0.92
250.1 0.08 1.12 0.92
250.2 0.08 1.12 0.92
250.3 0.08 1.12 0.92
250.4 0.08 1.12 0.92
250.5 0.08 1.12 0.92
250.6 0.08 1.12 0.92
250.7 0.08 1.12 0.92
250.8 0.08 1.12 0.92
250.9 0.08 1.12 0.92
251.0 0.08 1.12 0.92
251.1 0.08 1.12 0.92
251.2 0.08 1.12 0.92
251.3 0.08 1.12 0.92
251.4 0.08 1.12 0.92
251.5 0.08 1.12 0.92
251.6 0.08 1.12 0.92
251.7 0.08 1.12 0.92
251.8 0.08 1.12 0.92
251.9 0.08 1.12 0.92
252.0 0.08 1.12 0.92
252.1 0.08 1.12 0.92
252.2 0.08 1.12 0.92
252.3 0.08 1.12 0.92
252.4 0.08 1.12 0.92
252.5 0.08 1.12 0.92
252.6 0.08 1.12 0.92
252.7 0.08 1.12 0.92
252.8 0.08 1.12 0.92
252.9 0.08 1.12 0.92
253.0 0.08 1.12 0.92
253.1 0.08 1.12 0.92
253.2 0.08 1.12 0.92
253.3 0.08 1.12 0.92
253.4 0.08 1.12 0.92
253.5 0.08 1.12 0.92
253.6 0.08 1.12 0.92
253.7 0.08 1.12 0.92
253.8 0.08 1.12 0.92
253.9 0.08 1.12 0.92
254.0 0.08 1.12 0.92
254.1 0.08 1.12 0.92
254.2 0.08 1.12 0.92
254.3 0.08 1.12 0.92
254.4 0.08 1.12 0.92
254.5 0.08 1.12 0.92
254.6 0.08 1.12 0.92
254.7 0.08 1.12 0.92
254.8 0.08 1.12 0.92
254.9 0.08 1.12 0.92
255.0 0.08 1.12 0.92
255.1 0.08 1.12 0.92
255.2 0.08 1.12 0.92
255.3 0.08 1.12 0.92
255.4 0.08 1.12 0.92
255.5 0.08 1.12 0.92
255.6 0.08 1.12 0.92
255.7 0.08 1.12 0.92
255.8 0.08 1.12 0.92
255.9 0.08 1.12 0.92
256.0 0.08 1.12 0.92
256.1 0.08 1.12 0.92
256.2 0.08 1.12 0.92
256.3 0.08 1.12 0.92
256.4 0.08 1.12 0.92
256.5 0.08 1.12 0.92
256.6 0.08 1.12 0.92
256.7 0.08 1.12 0.92
256.8 0.08 1.12 0.92
256.9 0.08 1.12 0.92
257.0 0.08 1.12 0.92
257.1 0.08 1.12 0.92
257.2 0.08 1.12 0.92
257.3 0.08 1.12 0.92
257.4 0.08 1.12 0.92
257.5 0.08 1.12 0.92
257.6 0.08 1.12 0.92
257.7 0.08 1.12 0.92
257.8 0.08 1.12 0.92
257.9 0.08 1.12 0.92
258.0 0.08 1.12 0.92
258.1 0.08 1.12 0.92
258.2 0.08 1.12 0.92
258.3 0.08 1.12 0.92
258.4 0.08 1.12 0.92
258.5 0.08 1.12 0.92
258.6 0.08 1.12 0.92
258.7 0.08 1.12 0.92
258.8 0.08 1.12 0.92
258.9 0.08 1.12 0.92
259.0 0.08 1.12 0.92
259.1 0.08 1.12 0.92
259.2 0.08 1.12 0.92
259.3 0.08 1.12 0.92
259.4 0.08 1.12 0.92
259.5 0.08 1.12 0.92
259.6 0.08 1.12 0.92
259.7 0.08 1.12 0.92
259.8 0.08 1.12 0.93
259.9 0.08 1.12 0.93
260.0 0.07 1.13 0.93
260.1 0.07 1.13 0.93
260.2 0.07 1.13 0.93
260.3 0.07 1.13 0.93
260.4 0.07 1.13 0.93
260.5 0.07 1.13 0.93
260.6 0.07 1.13 0.93
260.7 0.07 1.13 0.93
260.8 0.07 1.13 0.93
260.9 0.07 1.13 0.93
261.0 0.07 1.13 0.93
261.1 0.07 1.13 0.93
261.2 0.07 1.13 0.93
261.3 0.07 1.13 0.93
261.4 0.07 1.13 0.93
261.5 0.07 1.13 0.93
261.6 0.07 1.13 0.93
261.7 0.07 1.13 0.93
261.8 0.07 1.13 0.93
261.9 0.07 1.13 0.93
262.0 0.07 1.13 0.93
262.1 0.07 1.13 0.93
262.2 0.07 1.13 0.93
262.3 0.07 1.13 0.93
262.4 0.07 1.13 0.93
262.5 0.07 1.13 0.93
262.6 0.07 1.13 0.93
262.7 0.07 1.13 0.93
262.8 0.07 1.13 0.93
262.9 0.07 1.13 0.93
263.0 0.07 1.13 0.93
263.1 0.07 1.13 0.93
263.2 0.07 1.13 0.93
263.3 0.07 1.13 0.93
263.4 0.07 1.13 0.93
263.5 0.07 1.13 0.93
263.6 0.07 1.13 0.93
263.7 0.07 1.13 0.93
263.8 0.07 1.13 0.93
263.9 0.07 1.13 0.93
264.0 0.07 1.13 0.93
264.1 0.07 1.13 0.93
264.2 0.07 1.13 0.93
264.3 0.07 1.13 0.93
264.4 0.07 1.13 0.93
264.5 0.07 1.13 0.93
264.6 0.07 1.13 0.93
264.7 0.07 1.13 0.93
264.8 0.07 1.13 0.93
264.9 0.07 1.13 0.93
265.0 0.07 1.13 0.93
265.1 0.07 1.13 0.93
265.2 0.07 1.13 0.93
265.3 0.07 1.13 0.93
265.4 0.07 1.13 0.93
265.5 0.07 1.13 0.93
265.6 0.07 1.13 0.93
265.7 0.07 1.13 0.93
265.8 0.07 1.13 0.93
265.9 0.07 1.13 0.93
266.0 0.07 1.13 0.93
266.1 0.07 1.13 0.93
266.2 0.07 1.13 0.93
266.3 0.07 1.13 0.93
266.4 0.07 1.13 0.93
266.5 0.07 1.13 0.93
266.6 0.07 1.13 0.93
266.7 0.07 1.13 0.93
266.8 0.07 1.13 0.93
266.9 0.07 1.13 0.93
267.0 0.07 1.13 0.93
267.1 0.07 1.13 0.93
267.2 0.07 1.13 0.93
267.3 0.07 1.13 0.93
267.4 0.07 1.13 0.93
267.5 0.07 1.13 0.93
267.6 0.07 1.13 0.93
267.7 0.07 1.13 0.93
267.8 0.07 1.13 0.93
267.9 0.07 1.13 0.93
268.0 0.07 1.13 0.93
268.1 0.07 1.13 0.93
268.2 0.07 1.13 0.93
268.3 0.07 1.13 0.93
268.4 0.07 1.13 0.93
268.5 0.07 1.13 0.93
268.6 0.07 1.13 0.93
268.7 0.07 1.13 0.93
268.8 0.07 1.13 0.93
268.9 0.07 1.13 0.93
269.0 0.07 1.13 0.93
269.1 0.07 1.13 0.93
269.2 0.07 1.13 0.93
269.3 0.07 1.13 0.93
269.4 0.07 1.13 0.93
269.5 0.07 1.13 0.93
269.6 0.07 1.13 0.93
269.7 0.07 1.13 0.93
269.8 0.07 1.13 0.93
269.9 0.07 1.13 0.93
270.0 0.07 1.13 0.93
270.1 0.07 1.13 0.93
270.2 0.07 1.13 0.93
270.3 0.07 1.13 0.93
270.4 0.07 1.13 0.93
270.5 0.07 1.13 0.93
270.6 0.07 1.13 0.93
270.7 0.07 1.13 0.93
270.8 0.07 1.13 0.93
270.9 0.07 1.13 0.93
271.0 0.07 1.13 0.93
271.1 0.07 1.13 0.93
271.2 0.07 1.13 0.93
271.3 0.07 1.13 0.93
271.4 0.07 1.13 0.93
271.5 0.07 1.13 0.93
271.6 0.07 1.13 0.93
271.7 0.07 1.13 0.93
271.8 0.07 1.13 0.93
271.9 0.07 1.13 0.93
272.0 0.07 1.13 0.93
272.1 0.07 1.13 0.93
272.2 0.07 1.13 0.93
272.3 0.07 1.13 0.93
272.4 0.07 1.13 0.93
272.5 0.07 1.13 0.93
272.6 0.07 1.13 0.93
272.7 0.07 1.13 0.93
272.8 0.07 1.13 0.93
272.9 0.07 1.13 0.93
273.0 0.07 1.13 0.93
273.1 0.07 1.13 0.93
273.2 0.07 1.13 0.93
273.3 0.07 1.13 0.93
273.4 0.07 1.13 0.93
273.5 0.07 1.13 0.93
273.6 0.07 1.13 0.93
273.7 0.07 1.13 0.93
273.8 0.07 1.13 0.93
273.9 0.07 1.13 0.93
274.0 0.07 1.13 0.93
274.1 0.07 1.13 0.93
274.2 0.07 1.13 0.93
274.3 0.07 1.13 0.94
274.4 0.07 1.13 0.94
274.5 0.06 1.14 0.94
274.6 0.06 1.14 0.94
274.7 0.06 1.14 0.94
274.8 0.06 1.14 0.94
274.9 0.06 1.14 0.94
275.0 0.06 1.14 0.94
275.1 0.06 1.14 0.94
275.2 0.06 1.14 0.94
275.3 0.06 1.14 0.94
275.4 0.06 1.14 0.94
275.5 0.06 1.14 0.94
275.6 0.06 1.14 0.94
275.7 0.06 1.14 0.94
275.8 0.06 1.14 0.94
275.9 0.06 1.14 0.94
276.0 0.06 1.14 0.94
276.1 0.06 1.14 0.94
276.2 0.06 1.14 0.94
276.3 0.06 1.14 0.94
276.4 0.06 1.14 0.94
276.5 0.06 1.14 0.94
276.6 0.06 1.14 0.94
276.7 0.06 1.14 0.94
276.8 0.06 1.14 0.94
276.9 0.06 1.14 0.94
277.0 0.06 1.14 0.94
277.1 0.06 1.14 0.94
277.2 0.06 1.14 0.94
277.3 0.06 1.14 0.94
277.4 0.06 1.14 0.94
277.5 0.06 1.14 0.94
277.6 0.06 1.14 0.94
277.7 0.06 1.14 0.94
277.8 0.06 1.14 0.94
277.9 0.06 1.14 0.94
278.0 0.06 1.14 0.94
278.1 0.06 1.14 0.94
278.2 0.06 1.14 0.94
278.3 0.06 1.14 0.94
278.4 0.06 1.14 0.94
278.5 0.06 1.14 0.94
278.6 0.06 1.14 0.94
278.7 0.06 1.14 0.94
278.8 0.06 1.14 0.94
278.9 0.06 1.14 0.94
279.0 0.06 1.14 0.94
279.1 0.06 1.14 0.94
279.2 0.06 1.14 0.94
279.3 0.06 1.14 0.94
279.4 0.06 1.14 0.94
279.5 0.06 1.14 0.94
279.6 0.06 1.14 0.94
279.7 0.06 1.14 0.94
279.8 0.06 1.14 0.94
279.9 0.06 1.14 0.94
280.0 0.06 1.14 0.94
280.1 0.06 1.14 0.94
280.2 0.06 1.14 0.94
280.3 0.06 1.14 0.94
280.4 0.06 1.14 0.94
280.5 0.06 1.14 0.94
280.6 0.06 1.14 0.94
280.7 0.06 1.14 0.94
280.8 0.06 1.14 0.94
280.9 0.06 1.14 0.94
281.0 0.06 1.14 0.94
281.1 0.06 1.14 0.94
281.2 0.06 1.14 0.94
281.3 0.06 1.14 0.94
281.4 0.06 1.14 0.94
281.5 0.06 1.14 0.94
281.6 0.06 1.14 0.94
281.7 0.06 1.14 0.94
281.8 0.06 1.14 0.94
281.9 0.06 1.14 0.94
282.0 0.06 1.14 0.94
282.1 0.06 1.14 0.94
282.2 0.06 1.14 0.94
282.3 0.06 1.14 0.94
282.4 0.06 1.14 0.94
282.5 0.06 1.14 0.94
282.6 0.06 1.14 0.94
282.7 0.06 1.14 0.94
282.8 0.06 1.14 0.94
282.9 0.06 1.14 0.94
283.0 0.06 1.14 0.94
283.1 0.06 1.14 0.94
283.2 0.06 1.14 0.94
283.3 0.06 1.14 0.94
283.4 0.06 1.14 0.94
283.5 0.06 1.14 0.94
283.6 0.06 1.14 0.94
283.7 0.06 1.14 0.94
283.8 0.06 1.14 0.94
283.9 0.06 1.14 0.94
284.0 0.06 1.14 0.94
284.1 0.06 1.14 0.94
284.2 0.06 1.14 0.94
284.3 0.06 1.14 0.94
284.4 0.06 1.14 0.94
284.5 0.06 1.14 0.94
284.6 0.06 1.14 0.94
284.7 0.06 1.14 0.94
284.8 0.06 1.14 0.94
284.9 0.06 1.14 0.94
285.0 0.06 1.14 0.94
285.1 0.06 1.14 0.94
285.2 0.06 1.14 0.94
285.3 0.06 1.14 0.94
285.4 0.06 1.14 0.94
285.5 0.06 1.14 0.94
285.6 0.06 1.14 0.94
285.7 0.06 1.14 0.94
285.8 0.06 1.14 0.94
285.9 0.06 1.14 0.94
286.0 0.06 1.14 0.94
286.1 0.06 1.14 0.94
286.2 0.06 1.14 0.94
286.3 0.06 1.14 0.94
286.4 0.06 1.14 0.94
286.5 0.06 1.14 0.94
286.6 0.06 1.14 0.94
286.7 0.06 1.14 0.94
286.8 0.06 1.14 0.94
286.9 0.06 1.14 0.94
287.0 0.06 1.14 0.94
287.1 0.06 1.14 0.94
287.2 0.06 1.14 0.94
287.3 0.06 1.14 0.94
287.4 0.06 1.14 0.94
287.5 0.06 1.14 0.94
287.6 0.06 1.14 0.94
287.7 0.06 1.14 0.94
287.8 0.06 1.14 0.94
287.9 0.06 1.14 0.94
288.0 0.06 1.14 0.94
288.1 0.06 1.14 0.94
288.2 0.06 1.14 0.94
288.3 0.06 1.14 0.94
288.4 0.06 1.14 0.94
288.5 0.06 1.14 0.94
288.6 0.06 1.14 0.94
288.7 0.06 1.14 0.94
288.8 0.06 1.14 0.94
288.9 0.06 1.14 0.94
289.0 0.06 1.14 0.94
289.1 0.06 1.14 0.94
289.2 0.06 1.14 0.94
289.3 0.06 1.14 0.94
289.4 0.06 1.14 0.94
289.5 0.06 1.14 0.94
289.6 0.06 1.14 0.94
289.7 0.06 1.14 0.94
289.8 0.06 1.14 0.94
289.9 0.06 1.14 0.94
290.0 0.06 1.14 0.94
290.1 0.06 1.14 0.94
290.2 0.06 1.14 0.94
290.3 0.06 1.14 0.94
290.4 0.06 1.14 0.94
290.5 0.06 1.14 0.94
290.6 0.06 1.14 0.94
290.7 0.06 1.14 0.94
290.8 0.06 1.14 0.94
290.9 0.06 1.14 0.94
291.0 0.06 1.14 0.94
291.1 0.06 1.14 0.94
291.2 0.06 1.14 0.94
291.3 0.06 1.14 0.95
291.4 0.06 1.14 0.95
291.5 0.05 1.15 0.95
291.6 0.05 1.15 0.95
291.7 0.05 1.15 0.95
291.8 0.05 1.15 0.95
291.9 0.05 1.15 0.95
292.0 0.05 1.15 0.95
292.1 0.05 1.15 0.95
292.2 0.05 1.15 0.95
292.3 0.05 1.15 0.95
292.4 0.05 1.15 0.95
292.5 0.05 1.15 0.95
292.6 0.05 1.15 0.95
292.7 0.05 1.15 0.95
292.8 0.05 1.15 0.95
292.9 0.05 1.15 0.95
293.0 0.05 1.15 0.95
293.1 0.05 1.15 0.95
293.2 0.05 1.15 0.95
293.3 0.05 1.15 0.95
293.4 0.05 1.15 0.95
293.5 0.05 1.15 0.95
293.6 0.05 1.15 0.95
293.7 0.05 1.15 0.95
293.8 0.05 1.15 0.95
293.9 0.05 1.15 0.95
294.0 0.05 1.15 0.95
294.1 0.05 1.15 0.95
294.2 0.05 1.15 0.95
294.3 0.05 1.15 0.95
294.4 0.05 1.15 0.95
294.5 0.05 1.15 0.95
294.6 0.05 1.15 0.95
294.7 0.05 1.15 0.95
294.8 0.05 1.15 0.95
294.9 0.05 1.15 0.95
295.0 0.05 1.15 0.95
295.1 0.05 1.15 0.95
295.2 0.05 1.15 0.95
295.3 0.05 1.15 0.95
295.4 0.05 1.15 0.95
295.5 0.05 1.15 0.95
295.6 0.05 1.15 0.95
295.7 0.05 1.15 0.95
295.8 0.05 1.15 0.95
295.9 0.05 1.15 0.95
296.0 0.05 1.15 0.95
296.1 0.05 1.15 0.95
296.2 0.05 1.15 0.95
296.3 0.05 1.15 0.95
296.4 0.05 1.15 0.95
296.5 0.05 1.15 0.95
296.6 0.05 1.15 0.95
296.7 0.05 1.15 0.95
296.8 0.05 1.15 0.95
296.9 0.05 1.15 0.95
297.0 0.05 1.15 0.95
297.1 0.05 1.15 0.95
297.2 0.05 1.15 0.95
297.3 0.05 1.15 0.95
297.4 0.05 1.15 0.95
297.5 0.05 1.15 0.95
297.6 0.05 1.15 0.95
297.7 0.05 1.15 0.95
297.8 0.05 1.15 0.95
297.9 0.05 1.15 0.95
298.0 0.05 1.15 0.95
298.1 0.05 1.15 0.95
298.2 0.05 1.15 0.95
298.3 0.05 1.15 0.95
298.4 0.05 1.15 0.95
298.5 0.05 1.15 0.95
298.6 0.05 1.15 0.95
298.7 0.05 1.15 0.95
298.8 0.05 1.15 0.95
298.9 0.05 1.15 0.95
299.0 0.05 1.15 0.95
299.1 0.05 1.15 0.95
299.2 0.05 1.15 0.95
299.3 0.05 1.15 0.95
299.4 0.05 1.15 0.95
299.5 0.05 1.15 0.95
299.6 0.05 1.15 0.95
299.7 0.05 1.15 0.95
299.8 0.05 1.15 0.95
299.9 0.05 1.15 0.95
300.0 0.05 1.15 0.95
300.1 0.05 1.15 0.95
300.2 0.05 1.15 0.95
300.3 0.05 1.15 0.95
300.4 0.05 1.15 0.95
300.5 0.05 1.15 0.95
300.6 0.05 1.15 0.95
300.7 0.05 1.15 0.95
300.8 0.05 1.15 0.95
300.9 0.05 1.15 0.95
301.0 0.05 1.15 0.95
301.1 0.05 1.15 0.95
301.2 0.05 1.15 0.95
301.3 0.05 1.15 0.95
301.4 0.05 1.15 0.95
301.5 0.05 1.15 0.95
301.6 0.05 1.15 0.95
301.7 0.05 1.15 0.95
301.8 0.05 1.15 0.95
301.9 0.05 1.15 0.95
302.0 0.05 1.15 0.95
302.1 0.05 1.15 0.95
302.2 0.05 1.15 0.95
302.3 0.05 1.15 0.95
302.4 0.05 1.15 0.95
302.5 0.05 1.15 0.95
302.6 0.05 1.15 0.95
302.7 0.05 1.15 0.95
302.8 0.05 1.15 0.95
302.9 0.05 1.15 0.95
303.0 0.05 1.15 0.95
303.1 0.05 1.15 0.95
303.2 0.05 1.15 0.95
303.3 0.05 1.15 0.95
303.4 0.05 1.15 0.95
303.5 0.05 1.15 0.95
303.6 0.05 1.15 0.95
303.7 0.05 1.15 0.95
303.8 0.05 1.15 0.95
303.9 0.05 1.15 0.95
304.0 0.05 1.15 0.95
304.1 0.05 1.15 0.95
304.2 0.05 1.15 0.95
304.3 0.05 1.15 0.95
304.4 0.05 1.15 0.95
304.5 0.05 1.15 0.95
304.6 0.05 1.15 0.95
304.7 0.05 1.15 0.95
304.8 0.05 1.15 0.95
304.9 0.05 1.15 0.95
305.0 0.05 1.15 0.95
305.1 0.05 1.15 0.95
305.2 0.05 1.15 0.95
305.3 0.05 1.15 0.95
305.4 0.05 1.15 0.95
305.5 0.05 1.15 0.95
305.6 0.05 1.15 0.95
305.7 0.05 1.15 0.95
305.8 0.05 1.15 0.95
305.9 0.05 1.15 0.95
306.0 0.05 1.15 0.95
306.1 0.05 1.15 0.95
306.2 0.05 1.15 0.95
306.3 0.05 1.15 0.95
306.4 0.05 1.15 0.95
306.5 0.05 1.15 0.95
306.6 0.05 1.15 0.95
306.7 0.05 1.15 0.95
306.8 0.05 1.15 0.95
306.9 0.05 1.15 0.95
307.0 0.05 1.15 0.95
307.1 0.05 1.15 0.95
307.2 0.05 1.15 0.95
307.3 0.05 1.15 0.95
307.4 0.05 1.15 0.95
307.5 0.05 1.15 0.95
307.6 0.05 1.15 0.95
307.7 0.05 1.15 0.95
307.8 0.05 1.15 0.95
307.9 0.05 1.15 0.95
308.0 0.05 1.15 0.95
308.1 0.05 1.15 0.95
308.2 0.05 1.15 0.95
308.3 0.05 1.15 0.95
308.4 0.05 1.15 0.95
308.5 0.05 1.15 0.95
308.6 0.05 1.15 0.95
308.7 0.05 1.15 0.95
308.8 0.05 1.15 0.95
308.9 0.05 1.15 0.95
309.0 0.05 1.15 0.95
309.1 0.05 1.15 0.95
309.2 0.05 1.15 0.95
309.3 0.05 1.15 0.95
309.4 0.05 1.15 0.95
309.5 0.05 1.15 0.95
309.6 0.05 1.15 0.95
309.7 0.05 1.15 0.95
309.8 0.05 1.15 0.95
309.9 0.05 1.15 0.95
310.0 0.05 1.15 0.95
310.1 0.05 1.15 0.95
310.2 0.05 1.15 0.95
310.3 0.05 1.15 0.95
310.4 0.05 1.15 0.95
310.5 0.05 1.15 0.95
310.6 0.05 1.15 0.95
310.7 0.05 1.15 0.95
310.8 0.05 1.15 0.95
310.9 0.05 1.15 0.95
311.0 0.05 1.15 0.95
311.1 0.05 1.15 0.95
311.2 0.05 1.15 0.95
311.3 0.05 1.15 0.95
311.4 0.05 1.15 0.95
311.5 0.05 1.15 0.95
311.6 0.05 1.15 0.95
311.7 0.05 1.15 0.95
311.8 0.05 1.15 0.96
311.9 0.05 1.15 0.96
312.0 0.04 1.16 0.96
312.1 0.04 1.16 0.96
312.2 0.04 1.16 0.96
312.3 0.04 1.16 0.96
312.4 0.04 1.16 0.96
312.5 0.04 1.16 0.96
312.6 0.04 1.16 0.96
312.7 0.04 1.16 0.96
312.8 0.04 1.16 0.96
312.9 0.04 1.16 0.96
313.0 0.04 1.16 0.96
313.1 0.04 1.16 0.96
313.2 0.04 1.16 0.96
313.3 0.04 1.16 0.96
313.4 0.04 1.16 0.96
313.5 0.04 1.16 0.96
313.6 0.04 1.16 0.96
313.7 0.04 1.16 0.96
313.8 0.04 1.16 0.96
313.9 0.04 1.16 0.96
314.0 0.04 1.16 0.96
314.1 0.04 1.16 0.96
314.2 0.04 1.16 0.96
314.3 0.04 1.16 0.96
314.4 0.04 1.16 0.96
314.5 0.04 1.16 0.96
314.6 0.04 1.16 0.96
314.7 0.04 1.16 0.96
314.8 0.04 1.16 0.96
314.9 0.04 1.16 0.96
315.0 0.04 1.16 0.96
315.1 0.04 1.16 0.96
315.2 0.04 1.16 0.96
315.3 0.04 1.16 0.96
315.4 0.04 1.16 0.96
315.5 0.04 1.16 0.96
315.6 0.04 1.16 0.96
315.7 0.04 1.16 0.96
315.8 0.04 1.16 0.96
315.9 0.04 1.16 0.96
316.0 0.04 1.16 0.96
316.1 0.04 1.16 0.96
316.2 0.04 1.16 0.96
316.3 0.04 1.16 0.96
316.4 0.04 1.16 0.96
316.5 0.04 1.16 0.96
316.6 0.04 1.16 0.96
316.7 0.04 1.16 0.96
316.8 0.04 1.16 0.96
316.9 0.04 1.16 0.96
317.0 0.04 1.16 0.96
317.1 0.04 1.16 0.96
317.2 0.04 1.16 0.96
317.3 0.04 1.16 0.96
317.4 0.04 1.16 0.96
317.5 0.04 1.16 0.96
317.6 0.04 1.16 0.96
317.7 0.04 1.16 0.96
317.8 0.04 1.16 0.96
317.9 0.04 1.16 0.96
318.0 0.04 1.16 0.96
318.1 0.04 1.16 0.96
318.2 0.04 1.16 0.96
318.3 0.04 1.16 0.96
318.4 0.04 1.16 0.96
318.5 0.04 1.16 0.96
318.6 0.04 1.16 0.96
318.7 0.04 1.16 0.96
318.8 0.04 1.16 0.96
318.9 0.04 1.16 0.96
319.0 0.04 1.16 0.96
319.1 0.04 1.16 0.96
319.2 0.04 1.16 0.96
319.3 0.04 1.16 0.96
319.4 0.04 1.16 0.96
319.5 0.04 1.16 0.96
319.6 0.04 1.16 0.96
319.7 0.04 1.16 0.96
319.8 0.04 1.16 0.96
319.9 0.04 1.16 0.96
320.0 0.04 1.16 0.96
320.1 0.04 1.16 0.96
320.2 0.04 1.16 0.96
320.3 0.04 1.16 0.96
320.4 0.04 1.16 0.96
320.5 0.04 1.16 0.96
320.6 0.04 1.16 0.96
320.7 0.04 1.16 0.96
320.8 0.04 1.16 0.96
320.9 0.04 1.16 0.96
321.0 0.04 1.16 0.96
321.1 0.04 1.16 0.96
321.2 0.04 1.16 0.96
321.3 0.04 1.16 0.96
321.4 0.04 1.16 0.96
321.5 0.04 1.16 0.96
321.6 0.04 1.16 0.96
321.7 0.04 1.16 0.96
321.8 0.04 1.16 0.96
321.9 0.04 1.16 0.96
322.0 0.04 1.16 0.96
322.1 0.04 1.16 0.96
322.2 0.04 1.16 0.96
322.3 0.04 1.16 0.96
322.4 0.04 1.16 0.96
322.5 0.04 1.16 0.96
322.6 0.04 1.16 0.96
322.7 0.04 1.16 0.96
322.8 0.04 1.16 0.96
322.9 0.04 1.16 0.96
323.0 0.04 1.16 0.96
323.1 0.04 1.16 0.96
323.2 0.04 1.16 0.96
323.3 0.04 1.16 0.96
323.4 0.04 1.16 0.96
323.5 0.04 1.16 0.96
323.6 0.04 1.16 0.96
323.7 0.04 1.16 0.96
323.8 0.04 1.16 0.96
323.9 0.04 1.16 0.96
324.0 0.04 1.16 0.96
324.1 0.04 1.16 0.96
324.2 0.04 1.16 0.96
324.3 0.04 1.16 0.96
324.4 0.04 1.16 0.96
324.5 0.04 1.16 0.96
324.6 0.04 1.16 0.96
324.7 0.04 1.16 0.96
324.8 0.04 1.16 0.96
324.9 0.04 1.16 0.96
325.0 0.04 1.16 0.96
325.1 0.04 1.16 0.96
325.2 0.04 1.16 0.96
325.3 0.04 1.16 0.96
325.4 0.04 1.16 0.96
325.5 0.04 1.16 0.96
325.6 0.04 1.16 0.96
325.7 0.04 1.16 0.96
325.8 0.04 1.16 0.96
325.9 0.04 1.16 0.96
326.0 0.04 1.16 0.96
326.1 0.04 1.16 0.96
326.2 0.04 1.16 0.96
326.3 0.04 1.16 0.96
326.4 0.04 1.16 0.96
326.5 0.04 1.16 0.96
326.6 0.04 1.16 0.96
326.7 0.04 1.16 0.96
326.8 0.04 1.16 0.96
326.9 0.04 1.16 0.96
327.0 0.04 1.16 0.96
327.1 0.04 1.16 0.96
327.2 0.04 1.16 0.96
327.3 0.04 1.16 0.96
327.4 0.04 1.16 0.96
327.5 0.04 1.16 0.96
327.6 0.04 1.16 0.96
327.7 0.04 1.16 0.96
327.8 0.04 1.16 0.96
327.9 0.04 1.16 0.96
328.0 0.04 1.16 0.96
328.1 0.04 1.16 0.96
328.2 0.04 1.16 0.96
328.3 0.04 1.16 0.96
328.4 0.04 1.16 0.96
328.5 0.04 1.16 0.96
328.6 0.04 1.16 0.96
328.7 0.04 1.16 0.96
328.8 0.04 1.16 0.96
328.9 0.04 1.16 0.96
329.0 0.04 1.16 0.96
329.1 0.04 1.16 0.96
329.2 0.04 1.16 0.96
329.3 0.04 1.16 0.96
329.4 0.04 1.16 0.96
329.5 0.04 1.16 0.96
329.6 0.04 1.16 0.96
329.7 0.04 1.16 0.96
329.8 0.04 1.16 0.96
329.9 0.04 1.16 0.96
