Time   [A]   [B] 
0 1000 0
0.01 999.8 0.2
0.02 999.6 0.4
0.03 999.4 0.6
0.04 999.2 0.8
0.05 999.0 1.0
0.06 998.8 1.2
0.07 998.6 1.4
0.08 998.4 1.6
0.09 998.2 1.8
0.1 998.0 2.0
0.11 997.8 2.2
0.12 997.6 2.4
0.13 997.4 2.6
0.14 997.2 2.8
0.15 997.01 2.99
0.16 996.81 3.19
0.17 996.61 3.39
0.18 996.41 3.59
0.19 996.21 3.79
0.2 996.01 3.99
0.21 995.81 4.19
0.22 995.61 4.39
0.23 995.41 4.59
0.24 995.21 4.79
0.25 995.02 4.99
0.26 994.82 5.18
0.27 994.62 5.38
0.28 994.42 5.58
0.29 994.22 5.78
0.3 994.02 5.98
0.31 993.82 6.18
0.32 993.63 6.38
0.33 993.43 6.57
0.34 993.23 6.77
0.35 993.03 6.97
0.36 992.83 7.17
0.37 992.63 7.37
0.38 992.44 7.56
0.39 992.24 7.76
0.4 992.04 7.96
0.41 991.84 8.16
0.42 991.64 8.36
0.43 991.45 8.56
0.44 991.25 8.75
0.45 991.05 8.95
0.46 990.85 9.15
0.47 990.65 9.35
0.48 990.46 9.54
0.49 990.26 9.74
0.5 990.06 9.94
0.51 989.86 10.14
0.52 989.67 10.33
0.53 989.47 10.53
0.54 989.27 10.73
0.55 989.07 10.93
0.56 988.88 11.12
0.57 988.68 11.32
0.58 988.48 11.52
0.59 988.29 11.71
0.6 988.09 11.91
0.61 987.89 12.11
0.62 987.69 12.31
0.63 987.5 12.5
0.64 987.3 12.7
0.65 987.1 12.9
0.66 986.91 13.09
0.67 986.71 13.29
0.68 986.51 13.49
0.69 986.32 13.68
0.7 986.12 13.88
0.71 985.92 14.08
0.72 985.73 14.27
0.73 985.53 14.47
0.74 985.33 14.67
0.75 985.14 14.86
0.76 984.94 15.06
0.77 984.75 15.25
0.78 984.55 15.45
0.79 984.35 15.65
0.8 984.16 15.84
0.81 983.96 16.04
0.82 983.77 16.24
0.83 983.57 16.43
0.84 983.37 16.63
0.85 983.18 16.82
0.86 982.98 17.02
0.87 982.79 17.21
0.88 982.59 17.41
0.89 982.4 17.61
0.9 982.2 17.8
0.91 982.0 18.0
0.92 981.81 18.19
0.93 981.61 18.39
0.94 981.42 18.58
0.95 981.22 18.78
0.96 981.03 18.97
0.97 980.83 19.17
0.98 980.64 19.36
0.99 980.44 19.56
1.0 980.25 19.75
1.01 980.05 19.95
1.02 979.86 20.14
1.03 979.66 20.34
1.04 979.47 20.53
1.05 979.27 20.73
1.06 979.08 20.92
1.07 978.88 21.12
1.08 978.69 21.31
1.09 978.49 21.51
1.1 978.3 21.7
1.11 978.1 21.9
1.12 977.91 22.09
1.13 977.71 22.29
1.14 977.52 22.48
1.15 977.33 22.68
1.16 977.13 22.87
1.17 976.94 23.06
1.18 976.74 23.26
1.19 976.55 23.45
1.2 976.35 23.65
1.21 976.16 23.84
1.22 975.97 24.03
1.23 975.77 24.23
1.24 975.58 24.42
1.25 975.38 24.62
1.26 975.19 24.81
1.27 975.0 25.0
1.28 974.8 25.2
1.29 974.61 25.39
1.3 974.42 25.59
1.31 974.22 25.78
1.32 974.03 25.97
1.33 973.84 26.17
1.34 973.64 26.36
1.35 973.45 26.55
1.36 973.26 26.75
1.37 973.06 26.94
1.38 972.87 27.13
1.39 972.68 27.33
1.4 972.48 27.52
1.41 972.29 27.71
1.42 972.1 27.91
1.43 971.9 28.1
1.44 971.71 28.29
1.45 971.52 28.48
1.46 971.32 28.68
1.47 971.13 28.87
1.48 970.94 29.06
1.49 970.75 29.26
1.5 970.55 29.45
1.51 970.36 29.64
1.52 970.17 29.83
1.53 969.98 30.03
1.54 969.78 30.22
1.55 969.59 30.41
1.56 969.4 30.6
1.57 969.21 30.8
1.58 969.01 30.99
1.59 968.82 31.18
1.6 968.63 31.37
1.61 968.44 31.56
1.62 968.25 31.76
1.63 968.05 31.95
1.64 967.86 32.14
1.65 967.67 32.33
1.66 967.48 32.52
1.67 967.29 32.72
1.68 967.09 32.91
1.69 966.9 33.1
1.7 966.71 33.29
1.71 966.52 33.48
1.72 966.33 33.68
1.73 966.14 33.87
1.74 965.94 34.06
1.75 965.75 34.25
1.76 965.56 34.44
1.77 965.37 34.63
1.78 965.18 34.82
1.79 964.99 35.02
1.8 964.8 35.21
1.81 964.6 35.4
1.82 964.41 35.59
1.83 964.22 35.78
1.84 964.03 35.97
1.85 963.84 36.16
1.86 963.65 36.35
1.87 963.46 36.54
1.88 963.27 36.73
1.89 963.08 36.93
1.9 962.89 37.12
1.91 962.69 37.31
1.92 962.5 37.5
1.93 962.31 37.69
1.94 962.12 37.88
1.95 961.93 38.07
1.96 961.74 38.26
1.97 961.55 38.45
1.98 961.36 38.64
1.99 961.17 38.83
2.0 960.98 39.02
2.01 960.79 39.21
2.02 960.6 39.4
2.03 960.41 39.59
2.04 960.22 39.78
2.05 960.03 39.97
2.06 959.84 40.16
2.07 959.65 40.35
2.08 959.46 40.54
2.09 959.27 40.73
2.1 959.08 40.92
2.11 958.89 41.11
2.12 958.7 41.3
2.13 958.51 41.49
2.14 958.32 41.68
2.15 958.13 41.87
2.16 957.94 42.06
2.17 957.75 42.25
2.18 957.56 42.44
2.19 957.37 42.63
2.2 957.19 42.82
2.21 957.0 43.01
2.22 956.81 43.2
2.23 956.62 43.38
2.24 956.43 43.57
2.25 956.24 43.76
2.26 956.05 43.95
2.27 955.86 44.14
2.28 955.67 44.33
2.29 955.48 44.52
2.3 955.29 44.71
2.31 955.11 44.9
2.32 954.92 45.09
2.33 954.73 45.27
2.34 954.54 45.46
2.35 954.35 45.65
2.36 954.16 45.84
2.37 953.97 46.03
2.38 953.79 46.22
2.39 953.6 46.41
2.4 953.41 46.59
2.41 953.22 46.78
2.42 953.03 46.97
2.43 952.84 47.16
2.44 952.66 47.35
2.45 952.47 47.54
2.46 952.28 47.72
2.47 952.09 47.91
2.48 951.9 48.1
2.49 951.71 48.29
2.5 951.53 48.48
2.51 951.34 48.66
2.52 951.15 48.85
2.53 950.96 49.04
2.54 950.78 49.23
2.55 950.59 49.41
2.56 950.4 49.6
2.57 950.21 49.79
2.58 950.03 49.98
2.59 949.84 50.16
2.6 949.65 50.35
2.61 949.46 50.54
2.62 949.28 50.73
2.63 949.09 50.91
2.64 948.9 51.1
2.65 948.71 51.29
2.66 948.53 51.48
2.67 948.34 51.66
2.68 948.15 51.85
2.69 947.97 52.04
2.7 947.78 52.22
2.71 947.59 52.41
2.72 947.4 52.6
2.73 947.22 52.78
2.74 947.03 52.97
2.75 946.84 53.16
2.76 946.66 53.35
2.77 946.47 53.53
2.78 946.28 53.72
2.79 946.1 53.91
2.8 945.91 54.09
2.81 945.72 54.28
2.82 945.54 54.46
2.83 945.35 54.65
2.84 945.17 54.84
2.85 944.98 55.02
2.86 944.79 55.21
2.87 944.61 55.4
2.88 944.42 55.58
2.89 944.23 55.77
2.9 944.05 55.95
2.91 943.86 56.14
2.92 943.68 56.33
2.93 943.49 56.51
2.94 943.3 56.7
2.95 943.12 56.88
2.96 942.93 57.07
2.97 942.75 57.26
2.98 942.56 57.44
2.99 942.38 57.63
3.0 942.19 57.81
3.01 942.01 58.0
3.02 941.82 58.18
3.03 941.63 58.37
3.04 941.45 58.55
3.05 941.26 58.74
3.06 941.08 58.92
3.07 940.89 59.11
3.08 940.71 59.3
3.09 940.52 59.48
3.1 940.34 59.67
3.11 940.15 59.85
3.12 939.97 60.04
3.13 939.78 60.22
3.14 939.6 60.41
3.15 939.41 60.59
3.16 939.23 60.78
3.17 939.04 60.96
3.18 938.86 61.15
3.19 938.67 61.33
3.2 938.49 61.51
3.21 938.3 61.7
3.22 938.12 61.88
3.23 937.93 62.07
3.24 937.75 62.25
3.25 937.57 62.44
3.26 937.38 62.62
3.27 937.2 62.81
3.28 937.01 62.99
3.29 936.83 63.17
3.3 936.64 63.36
3.31 936.46 63.54
3.32 936.28 63.73
3.33 936.09 63.91
3.34 935.91 64.09
3.35 935.72 64.28
3.36 935.54 64.46
3.37 935.36 64.65
3.38 935.17 64.83
3.39 934.99 65.01
3.4 934.81 65.2
3.41 934.62 65.38
3.42 934.44 65.57
3.43 934.25 65.75
3.44 934.07 65.93
3.45 933.89 66.12
3.46 933.7 66.3
3.47 933.52 66.48
3.48 933.34 66.67
3.49 933.15 66.85
3.5 932.97 67.03
3.51 932.79 67.22
3.52 932.6 67.4
3.53 932.42 67.58
3.54 932.24 67.77
3.55 932.05 67.95
3.56 931.87 68.13
3.57 931.69 68.31
3.58 931.51 68.5
3.59 931.32 68.68
3.6 931.14 68.86
3.61 930.96 69.05
3.62 930.77 69.23
3.63 930.59 69.41
3.64 930.41 69.59
3.65 930.23 69.78
3.66 930.04 69.96
3.67 929.86 70.14
3.68 929.68 70.32
3.69 929.5 70.51
3.7 929.31 70.69
3.71 929.13 70.87
3.72 928.95 71.05
3.73 928.77 71.24
3.74 928.59 71.42
3.75 928.4 71.6
3.76 928.22 71.78
3.77 928.04 71.96
3.78 927.86 72.15
3.79 927.68 72.33
3.8 927.49 72.51
3.81 927.31 72.69
3.82 927.13 72.87
3.83 926.95 73.06
3.84 926.77 73.24
3.85 926.58 73.42
3.86 926.4 73.6
3.87 926.22 73.78
3.88 926.04 73.96
3.89 925.86 74.15
3.9 925.68 74.33
3.91 925.5 74.51
3.92 925.31 74.69
3.93 925.13 74.87
3.94 924.95 75.05
3.95 924.77 75.23
3.96 924.59 75.41
3.97 924.41 75.6
3.98 924.23 75.78
3.99 924.05 75.96
4.0 923.86 76.14
4.01 923.68 76.32
4.02 923.5 76.5
4.03 923.32 76.68
4.04 923.14 76.86
4.05 922.96 77.04
4.06 922.78 77.22
4.07 922.6 77.41
4.08 922.42 77.59
4.09 922.24 77.77
4.1 922.06 77.95
4.11 921.88 78.13
4.12 921.7 78.31
4.13 921.52 78.49
4.14 921.34 78.67
4.15 921.15 78.85
4.16 920.97 79.03
4.17 920.79 79.21
4.18 920.61 79.39
4.19 920.43 79.57
4.2 920.25 79.75
4.21 920.07 79.93
4.22 919.89 80.11
4.23 919.71 80.29
4.24 919.53 80.47
4.25 919.35 80.65
4.26 919.17 80.83
4.27 918.99 81.01
4.28 918.81 81.19
4.29 918.64 81.37
4.3 918.46 81.55
4.31 918.28 81.73
4.32 918.1 81.91
4.33 917.92 82.09
4.34 917.74 82.27
4.35 917.56 82.45
4.36 917.38 82.63
4.37 917.2 82.8
4.38 917.02 82.98
4.39 916.84 83.16
4.4 916.66 83.34
4.41 916.48 83.52
4.42 916.3 83.7
4.43 916.12 83.88
4.44 915.95 84.06
4.45 915.77 84.24
4.46 915.59 84.42
4.47 915.41 84.6
4.48 915.23 84.77
4.49 915.05 84.95
4.5 914.87 85.13
4.51 914.69 85.31
4.52 914.51 85.49
4.53 914.34 85.67
4.54 914.16 85.85
4.55 913.98 86.03
4.56 913.8 86.2
4.57 913.62 86.38
4.58 913.44 86.56
4.59 913.27 86.74
4.6 913.09 86.92
4.61 912.91 87.1
4.62 912.73 87.27
4.63 912.55 87.45
4.64 912.37 87.63
4.65 912.2 87.81
4.66 912.02 87.99
4.67 911.84 88.16
4.68 911.66 88.34
4.69 911.48 88.52
4.7 911.31 88.7
4.71 911.13 88.88
4.72 910.95 89.05
4.73 910.77 89.23
4.74 910.6 89.41
4.75 910.42 89.59
4.76 910.24 89.76
4.77 910.06 89.94
4.78 909.88 90.12
4.79 909.71 90.3
4.8 909.53 90.47
4.81 909.35 90.65
4.82 909.18 90.83
4.83 909.0 91.01
4.84 908.82 91.18
4.85 908.64 91.36
4.86 908.47 91.54
4.87 908.29 91.72
4.88 908.11 91.89
4.89 907.94 92.07
4.9 907.76 92.25
4.91 907.58 92.42
4.92 907.4 92.6
4.93 907.23 92.78
4.94 907.05 92.95
4.95 906.87 93.13
4.96 906.7 93.31
4.97 906.52 93.48
4.98 906.34 93.66
4.99 906.17 93.84
5.0 905.99 94.01
5.01 905.81 94.19
5.02 905.64 94.37
5.03 905.46 94.54
5.04 905.29 94.72
5.05 905.11 94.9
5.06 904.93 95.07
5.07 904.76 95.25
5.08 904.58 95.42
5.09 904.4 95.6
5.1 904.23 95.78
5.11 904.05 95.95
5.12 903.88 96.13
5.13 903.7 96.3
5.14 903.52 96.48
5.15 903.35 96.66
5.16 903.17 96.83
5.17 903.0 97.01
5.18 902.82 97.18
5.19 902.65 97.36
5.2 902.47 97.54
5.21 902.29 97.71
5.22 902.12 97.89
5.23 901.94 98.06
5.24 901.77 98.24
5.25 901.59 98.41
5.26 901.42 98.59
5.27 901.24 98.76
5.28 901.07 98.94
5.29 900.89 99.11
5.3 900.72 99.29
5.31 900.54 99.46
5.32 900.37 99.64
5.33 900.19 99.81
5.34 900.02 99.99
5.35 899.84 100.16
5.36 899.67 100.34
5.37 899.49 100.51
5.38 899.32 100.69
5.39 899.14 100.86
5.4 898.97 101.04
5.41 898.79 101.21
5.42 898.62 101.39
5.43 898.44 101.56
5.44 898.27 101.74
5.45 898.09 101.91
5.46 897.92 102.09
5.47 897.74 102.26
5.48 897.57 102.44
5.49 897.39 102.61
5.5 897.22 102.78
5.51 897.05 102.96
5.52 896.87 103.13
5.53 896.7 103.31
5.54 896.52 103.48
5.55 896.35 103.66
5.56 896.18 103.83
5.57 896.0 104.0
5.58 895.83 104.18
5.59 895.65 104.35
5.6 895.48 104.53
5.61 895.31 104.7
5.62 895.13 104.87
5.63 894.96 105.05
5.64 894.78 105.22
5.65 894.61 105.39
5.66 894.44 105.57
5.67 894.26 105.74
5.68 894.09 105.92
5.69 893.92 106.09
5.7 893.74 106.26
5.71 893.57 106.44
5.72 893.4 106.61
5.73 893.22 106.78
5.74 893.05 106.96
5.75 892.88 107.13
5.76 892.7 107.3
5.77 892.53 107.48
5.78 892.36 107.65
5.79 892.18 107.82
5.8 892.01 108.0
5.81 891.84 108.17
5.82 891.66 108.34
5.83 891.49 108.51
5.84 891.32 108.69
5.85 891.15 108.86
5.86 890.97 109.03
5.87 890.8 109.21
5.88 890.63 109.38
5.89 890.45 109.55
5.9 890.28 109.72
5.91 890.11 109.9
5.92 889.94 110.07
5.93 889.76 110.24
5.94 889.59 110.41
5.95 889.42 110.59
5.96 889.25 110.76
5.97 889.08 110.93
5.98 888.9 111.1
5.99 888.73 111.27
6.0 888.56 111.45
6.01 888.39 111.62
6.02 888.21 111.79
6.03 888.04 111.96
6.04 887.87 112.14
6.05 887.7 112.31
6.06 887.53 112.48
6.07 887.35 112.65
6.08 887.18 112.82
6.09 887.01 112.99
6.1 886.84 113.17
6.11 886.67 113.34
6.12 886.5 113.51
6.13 886.32 113.68
6.14 886.15 113.85
6.15 885.98 114.02
6.16 885.81 114.2
6.17 885.64 114.37
6.18 885.47 114.54
6.19 885.3 114.71
6.2 885.12 114.88
6.21 884.95 115.05
6.22 884.78 115.22
6.23 884.61 115.4
6.24 884.44 115.57
6.25 884.27 115.74
6.26 884.1 115.91
6.27 883.93 116.08
6.28 883.76 116.25
6.29 883.58 116.42
6.3 883.41 116.59
6.31 883.24 116.76
6.32 883.07 116.93
6.33 882.9 117.1
6.34 882.73 117.28
6.35 882.56 117.45
6.36 882.39 117.62
6.37 882.22 117.79
6.38 882.05 117.96
6.39 881.88 118.13
6.4 881.71 118.3
6.41 881.54 118.47
6.42 881.37 118.64
6.43 881.2 118.81
6.44 881.03 118.98
6.45 880.86 119.15
6.46 880.69 119.32
6.47 880.51 119.49
6.48 880.34 119.66
6.49 880.17 119.83
6.5 880.0 120.0
6.51 879.83 120.17
6.52 879.66 120.34
6.53 879.49 120.51
6.54 879.32 120.68
6.55 879.16 120.85
6.56 878.99 121.02
6.57 878.82 121.19
6.58 878.65 121.36
6.59 878.48 121.53
6.6 878.31 121.7
6.61 878.14 121.87
6.62 877.97 122.04
6.63 877.8 122.21
6.64 877.63 122.38
6.65 877.46 122.55
6.66 877.29 122.72
6.67 877.12 122.89
6.68 876.95 123.05
6.69 876.78 123.22
6.7 876.61 123.39
6.71 876.44 123.56
6.72 876.27 123.73
6.73 876.11 123.9
6.74 875.94 124.07
6.75 875.77 124.24
6.76 875.6 124.41
6.77 875.43 124.58
6.78 875.26 124.75
6.79 875.09 124.91
6.8 874.92 125.08
6.81 874.75 125.25
6.82 874.59 125.42
6.83 874.42 125.59
6.84 874.25 125.76
6.85 874.08 125.93
6.86 873.91 126.09
6.87 873.74 126.26
6.88 873.57 126.43
6.89 873.41 126.6
6.9 873.24 126.77
6.91 873.07 126.94
6.92 872.9 127.1
6.93 872.73 127.27
6.94 872.57 127.44
6.95 872.4 127.61
6.96 872.23 127.78
6.97 872.06 127.95
6.98 871.89 128.11
6.99 871.72 128.28
7.0 871.56 128.45
7.01 871.39 128.62
7.02 871.22 128.79
7.03 871.05 128.95
7.04 870.89 129.12
7.05 870.72 129.29
7.06 870.55 129.46
7.07 870.38 129.62
7.08 870.22 129.79
7.09 870.05 129.96
7.1 869.88 130.13
7.11 869.71 130.29
7.12 869.55 130.46
7.13 869.38 130.63
7.14 869.21 130.8
7.15 869.04 130.96
7.16 868.88 131.13
7.17 868.71 131.3
7.18 868.54 131.47
7.19 868.37 131.63
7.2 868.21 131.8
7.21 868.04 131.97
7.22 867.87 132.13
7.23 867.71 132.3
7.24 867.54 132.47
7.25 867.37 132.63
7.26 867.21 132.8
7.27 867.04 132.97
7.28 866.87 133.13
7.29 866.71 133.3
7.3 866.54 133.47
7.31 866.37 133.63
7.32 866.21 133.8
7.33 866.04 133.97
7.34 865.87 134.13
7.35 865.71 134.3
7.36 865.54 134.47
7.37 865.37 134.63
7.38 865.21 134.8
7.39 865.04 134.97
7.4 864.87 135.13
7.41 864.71 135.3
7.42 864.54 135.46
7.43 864.38 135.63
7.44 864.21 135.8
7.45 864.04 135.96
7.46 863.88 136.13
7.47 863.71 136.3
7.48 863.55 136.46
7.49 863.38 136.63
7.5 863.21 136.79
7.51 863.05 136.96
7.52 862.88 137.12
7.53 862.72 137.29
7.54 862.55 137.46
7.55 862.39 137.62
7.56 862.22 137.79
7.57 862.05 137.95
7.58 861.89 138.12
7.59 861.72 138.28
7.6 861.56 138.45
7.61 861.39 138.61
7.62 861.23 138.78
7.63 861.06 138.94
7.64 860.9 139.11
7.65 860.73 139.28
7.66 860.57 139.44
7.67 860.4 139.61
7.68 860.24 139.77
7.69 860.07 139.94
7.7 859.91 140.1
7.71 859.74 140.27
7.72 859.58 140.43
7.73 859.41 140.6
7.74 859.25 140.76
7.75 859.08 140.93
7.76 858.92 141.09
7.77 858.75 141.25
7.78 858.59 141.42
7.79 858.42 141.58
7.8 858.26 141.75
7.81 858.09 141.91
7.82 857.93 142.08
7.83 857.76 142.24
7.84 857.6 142.41
7.85 857.44 142.57
7.86 857.27 142.74
7.87 857.11 142.9
7.88 856.94 143.06
7.89 856.78 143.23
7.9 856.61 143.39
7.91 856.45 143.56
7.92 856.29 143.72
7.93 856.12 143.88
7.94 855.96 144.05
7.95 855.79 144.21
7.96 855.63 144.38
7.97 855.47 144.54
7.98 855.3 144.7
7.99 855.14 144.87
8.0 854.97 145.03
8.01 854.81 145.2
8.02 854.65 145.36
8.03 854.48 145.52
8.04 854.32 145.69
8.05 854.16 145.85
8.06 853.99 146.01
8.07 853.83 146.18
8.08 853.67 146.34
8.09 853.5 146.5
8.1 853.34 146.67
8.11 853.18 146.83
8.12 853.01 146.99
8.13 852.85 147.16
8.14 852.69 147.32
8.15 852.52 147.48
8.16 852.36 147.65
8.17 852.2 147.81
8.18 852.03 147.97
8.19 851.87 148.14
8.2 851.71 148.3
8.21 851.55 148.46
8.22 851.38 148.63
8.23 851.22 148.79
8.24 851.06 148.95
8.25 850.89 149.11
8.26 850.73 149.28
8.27 850.57 149.44
8.28 850.41 149.6
8.29 850.24 149.76
8.3 850.08 149.93
8.31 849.92 150.09
8.32 849.76 150.25
8.33 849.59 150.41
8.34 849.43 150.58
8.35 849.27 150.74
8.36 849.11 150.9
8.37 848.94 151.06
8.38 848.78 151.23
8.39 848.62 151.39
8.4 848.46 151.55
8.41 848.3 151.71
8.42 848.13 151.87
8.43 847.97 152.04
8.44 847.81 152.2
8.45 847.65 152.36
8.46 847.49 152.52
8.47 847.32 152.68
8.48 847.16 152.85
8.49 847.0 153.01
8.5 846.84 153.17
8.51 846.68 153.33
8.52 846.51 153.49
8.53 846.35 153.65
8.54 846.19 153.82
8.55 846.03 153.98
8.56 845.87 154.14
8.57 845.71 154.3
8.58 845.55 154.46
8.59 845.38 154.62
8.6 845.22 154.78
8.61 845.06 154.95
8.62 844.9 155.11
8.63 844.74 155.27
8.64 844.58 155.43
8.65 844.42 155.59
8.66 844.26 155.75
8.67 844.09 155.91
8.68 843.93 156.07
8.69 843.77 156.24
8.7 843.61 156.4
8.71 843.45 156.56
8.72 843.29 156.72
8.73 843.13 156.88
8.74 842.97 157.04
8.75 842.81 157.2
8.76 842.65 157.36
8.77 842.49 157.52
8.78 842.33 157.68
8.79 842.17 157.84
8.8 842.0 158.0
8.81 841.84 158.16
8.82 841.68 158.32
8.83 841.52 158.48
8.84 841.36 158.65
8.85 841.2 158.81
8.86 841.04 158.97
8.87 840.88 159.13
8.88 840.72 159.29
8.89 840.56 159.45
8.9 840.4 159.61
8.91 840.24 159.77
8.92 840.08 159.93
8.93 839.92 160.09
8.94 839.76 160.25
8.95 839.6 160.41
8.96 839.44 160.57
8.97 839.28 160.73
8.98 839.12 160.89
8.99 838.96 161.05
9.0 838.8 161.21
9.01 838.64 161.37
9.02 838.48 161.53
9.03 838.32 161.68
9.04 838.16 161.84
9.05 838.0 162.0
9.06 837.84 162.16
9.07 837.69 162.32
9.08 837.53 162.48
9.09 837.37 162.64
9.1 837.21 162.8
9.11 837.05 162.96
9.12 836.89 163.12
9.13 836.73 163.28
9.14 836.57 163.44
9.15 836.41 163.6
9.16 836.25 163.76
9.17 836.09 163.92
9.18 835.93 164.07
9.19 835.78 164.23
9.2 835.62 164.39
9.21 835.46 164.55
9.22 835.3 164.71
9.23 835.14 164.87
9.24 834.98 165.03
9.25 834.82 165.19
9.26 834.66 165.34
9.27 834.5 165.5
9.28 834.35 165.66
9.29 834.19 165.82
9.3 834.03 165.98
9.31 833.87 166.14
9.32 833.71 166.3
9.33 833.55 166.45
9.34 833.4 166.61
9.35 833.24 166.77
9.36 833.08 166.93
9.37 832.92 167.09
9.38 832.76 167.25
9.39 832.6 167.4
9.4 832.45 167.56
9.41 832.29 167.72
9.42 832.13 167.88
9.43 831.97 168.04
9.44 831.81 168.19
9.45 831.66 168.35
9.46 831.5 168.51
9.47 831.34 168.67
9.48 831.18 168.83
9.49 831.02 168.98
9.5 830.87 169.14
9.51 830.71 169.3
9.52 830.55 169.46
9.53 830.39 169.62
9.54 830.24 169.77
9.55 830.08 169.93
9.56 829.92 170.09
9.57 829.76 170.25
9.58 829.61 170.4
9.59 829.45 170.56
9.6 829.29 170.72
9.61 829.13 170.87
9.62 828.98 171.03
9.63 828.82 171.19
9.64 828.66 171.35
9.65 828.5 171.5
9.66 828.35 171.66
9.67 828.19 171.82
9.68 828.03 171.97
9.69 827.88 172.13
9.7 827.72 172.29
9.71 827.56 172.45
9.72 827.41 172.6
9.73 827.25 172.76
9.74 827.09 172.92
9.75 826.94 173.07
9.76 826.78 173.23
9.77 826.62 173.39
9.78 826.47 173.54
9.79 826.31 173.7
9.8 826.15 173.86
9.81 826.0 174.01
9.82 825.84 174.17
9.83 825.68 174.33
9.84 825.53 174.48
9.85 825.37 174.64
9.86 825.21 174.8
9.87 825.06 174.95
9.88 824.9 175.11
9.89 824.74 175.26
9.9 824.59 175.42
9.91 824.43 175.58
9.92 824.28 175.73
9.93 824.12 175.89
9.94 823.96 176.04
9.95 823.81 176.2
9.96 823.65 176.36
9.97 823.5 176.51
9.98 823.34 176.67
9.99 823.18 176.82
10.0 823.03 176.98
10.01 822.87 177.14
10.02 822.72 177.29
10.03 822.56 177.45
10.04 822.41 177.6
10.05 822.25 177.76
10.06 822.1 177.91
10.07 821.94 178.07
10.08 821.78 178.22
10.09 821.63 178.38
10.1 821.47 178.54
10.11 821.32 178.69
10.12 821.16 178.85
10.13 821.01 179.0
10.14 820.85 179.16
10.15 820.7 179.31
10.16 820.54 179.47
10.17 820.39 179.62
10.18 820.23 179.78
10.19 820.08 179.93
10.2 819.92 180.09
10.21 819.77 180.24
10.22 819.61 180.4
10.23 819.46 180.55
10.24 819.3 180.71
10.25 819.15 180.86
10.26 818.99 181.02
10.27 818.84 181.17
10.28 818.68 181.33
10.29 818.53 181.48
10.3 818.37 181.64
10.31 818.22 181.79
10.32 818.06 181.94
10.33 817.91 182.1
10.34 817.76 182.25
10.35 817.6 182.41
10.36 817.45 182.56
10.37 817.29 182.72
10.38 817.14 182.87
10.39 816.98 183.03
10.4 816.83 183.18
10.41 816.68 183.33
10.42 816.52 183.49
10.43 816.37 183.64
10.44 816.21 183.8
10.45 816.06 183.95
10.46 815.9 184.1
10.47 815.75 184.26
10.48 815.6 184.41
10.49 815.44 184.57
10.5 815.29 184.72
10.51 815.14 184.87
10.52 814.98 185.03
10.53 814.83 185.18
10.54 814.67 185.34
10.55 814.52 185.49
10.56 814.37 185.64
10.57 814.21 185.8
10.58 814.06 185.95
10.59 813.91 186.1
10.6 813.75 186.26
10.61 813.6 186.41
10.62 813.45 186.56
10.63 813.29 186.72
10.64 813.14 186.87
10.65 812.99 187.02
10.66 812.83 187.18
10.67 812.68 187.33
10.68 812.53 187.48
10.69 812.37 187.64
10.7 812.22 187.79
10.71 812.07 187.94
10.72 811.91 188.1
10.73 811.76 188.25
10.74 811.61 188.4
10.75 811.46 188.55
10.76 811.3 188.71
10.77 811.15 188.86
10.78 811.0 189.01
10.79 810.84 189.17
10.8 810.69 189.32
10.81 810.54 189.47
10.82 810.39 189.62
10.83 810.23 189.78
10.84 810.08 189.93
10.85 809.93 190.08
10.86 809.78 190.23
10.87 809.62 190.39
10.88 809.47 190.54
10.89 809.32 190.69
10.9 809.17 190.84
10.91 809.01 191.0
10.92 808.86 191.15
10.93 808.71 191.3
10.94 808.56 191.45
10.95 808.41 191.6
10.96 808.25 191.76
10.97 808.1 191.91
10.98 807.95 192.06
10.99 807.8 192.21
11.0 807.65 192.36
11.01 807.49 192.52
11.02 807.34 192.67
11.03 807.19 192.82
11.04 807.04 192.97
11.05 806.89 193.12
11.06 806.73 193.28
11.07 806.58 193.43
11.08 806.43 193.58
11.09 806.28 193.73
11.1 806.13 193.88
11.11 805.98 194.03
11.12 805.83 194.18
11.13 805.67 194.34
11.14 805.52 194.49
11.15 805.37 194.64
11.16 805.22 194.79
11.17 805.07 194.94
11.18 804.92 195.09
11.19 804.77 195.24
11.2 804.61 195.4
11.21 804.46 195.55
11.22 804.31 195.7
11.23 804.16 195.85
11.24 804.01 196.0
11.25 803.86 196.15
11.26 803.71 196.3
11.27 803.56 196.45
11.28 803.41 196.6
11.29 803.26 196.75
11.3 803.1 196.91
11.31 802.95 197.06
11.32 802.8 197.21
11.33 802.65 197.36
11.34 802.5 197.51
11.35 802.35 197.66
11.36 802.2 197.81
11.37 802.05 197.96
11.38 801.9 198.11
11.39 801.75 198.26
11.4 801.6 198.41
11.41 801.45 198.56
11.42 801.3 198.71
11.43 801.15 198.86
11.44 801.0 199.01
11.45 800.85 199.16
11.46 800.7 199.31
11.47 800.55 199.46
11.48 800.4 199.61
11.49 800.25 199.76
11.5 800.1 199.91
11.51 799.95 200.06
11.52 799.8 200.21
11.53 799.65 200.36
11.54 799.5 200.51
11.55 799.35 200.66
11.56 799.2 200.81
11.57 799.05 200.96
11.58 798.9 201.11
11.59 798.75 201.26
11.6 798.6 201.41
11.61 798.45 201.56
11.62 798.3 201.71
11.63 798.15 201.86
11.64 798.0 202.01
11.65 797.85 202.16
